time_years,cumulative_log_growth,mean_megno,relative_energy_error
3.8181779981e+07,1.8208981804e+01,2.1241206854e+00,4.184213e-07
3.8406501184e+07,1.8314833861e+01,2.1215628498e+00,2.366168e-07
3.8591222787e+07,1.8087954302e+01,2.1194854265e+00,8.074001e-07
3.8815943990e+07,1.7787068479e+01,2.1169927469e+00,8.677593e-07
3.9000665193e+07,1.8460734609e+01,2.1150251769e+00,6.499315e-07
3.9185386796e+07,1.8343072221e+01,2.1132456327e+00,5.957415e-07
3.9410107999e+07,1.7925073623e+01,2.1111596881e+00,5.975781e-07
3.9594829202e+07,1.7961616447e+01,2.1095419717e+00,6.661896e-07
3.9819550805e+07,1.7947206771e+01,2.1077972935e+00,6.163824e-07
4.0004272008e+07,1.8605726726e+01,2.1066266380e+00,8.098857e-07
4.0188993611e+07,1.8405167172e+01,2.1056683219e+00,2.382078e-07
4.0413714814e+07,1.7826105622e+01,2.1045565722e+00,2.714146e-07
4.0598436017e+07,1.8732442857e+01,2.1038557471e+00,8.853121e-07
4.0783157619e+07,1.8589046190e+01,2.1034845169e+00,6.543861e-07
4.1007878823e+07,1.8019064200e+01,2.1030860860e+00,6.802949e-07
4.1192600426e+07,1.8457353677e+01,2.1029446600e+00,5.841113e-07
4.1417321629e+07,1.8854875871e+01,2.1032183818e+00,5.968400e-07
4.1602042832e+07,1.8131440827e+01,2.1035088815e+00,6.502589e-07
4.1786764434e+07,1.8058241023e+01,2.1039607524e+00,8.181550e-07
4.2011485638e+07,1.8836379845e+01,2.1048545211e+00,7.828231e-07
4.2196207241e+07,1.8459909442e+01,2.1057794883e+00,2.436792e-07
4.2380928443e+07,1.8616517008e+01,2.1066593428e+00,9.605555e-07
4.2605649647e+07,1.8005277694e+01,2.1078959232e+00,9.870046e-07
4.2790371249e+07,1.9295405470e+01,2.1089942457e+00,6.752359e-07
4.3015092453e+07,1.8706814112e+01,2.1105560982e+00,7.145852e-07
4.3199814055e+07,1.8581974269e+01,2.1118070254e+00,5.919191e-07
4.3384535258e+07,1.8076567907e+01,2.1132234833e+00,6.339002e-07
4.3609256462e+07,1.8907385483e+01,2.1150810116e+00,6.197856e-07
4.3793978064e+07,1.8872555774e+01,2.1168469549e+00,7.781126e-07
4.4018699268e+07,1.8837368829e+01,2.1189267444e+00,7.349618e-07
4.4203420470e+07,1.7906526018e+01,2.1207214150e+00,8.840449e-07
4.4388142073e+07,1.9290320677e+01,2.1227207441e+00,8.932787e-07
4.4612863277e+07,1.8926340496e+01,2.1251691923e+00,7.796676e-07
4.4797584879e+07,1.8071764169e+01,2.1273106241e+00,6.993060e-07
4.4982306082e+07,1.9537828248e+01,2.1295459949e+00,5.823655e-07
4.5207027285e+07,1.8272360227e+01,2.1324668699e+00,6.151726e-07
4.5391748888e+07,1.8705297942e+01,2.1348351735e+00,6.175702e-07
